"Comment","Designator","Footprint","LCSC Part #"
"1uF","C1","C_0402_1005Metric","C52923"
"0.1uF","C2,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16","C_0402_1005Metric","C1525"
"22uF","C4,C6","C_0603_1608Metric","C59461"
"4.7uF","C5","C_0603_1608Metric","C19666"
"D_TVS","D1","D_SMB","C78395"
"LED","D2","LED_0603_1608Metric","C2286"
"Q_NPN_BEC","Q1,Q2","SOT-23","C2150"
"10k","R2,R1,R3,R15","R_0402_1005Metric","C25744"
"10","R4,R5,R6,R7,R8,R9,R10,R11,R12","R_1206_3216Metric","C17903"
"1k","R14","R_0402_1005Metric","C11702"
"SW_Push","SW1","SW_TACTILE_5.1MM_TS-1187A-C-D-B","C318888"
"AZ1117-3.3","U1","SOT-223","C6186"
"INTERFACE-CP2102-GMR(QFN28)","U2","QFN28G_0.5-5X5MM","C6568"
"HT7K1201","U4,U5,U6,U7,U8,U9,U10,U11,U12","SOT-23-6","C182041"
