Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,200.100000,-69.000000,90.000000,top
C2,0.1uF,C_0402_1005Metric,199.700000,-84.000000,90.000000,top
C4,22uF,C_0603_1608Metric,206.500000,-65.500000,0.000000,top
C5,4.7uF,C_0603_1608Metric,191.400000,-63.500000,90.000000,top
C6,22uF,C_0603_1608Metric,208.000000,-60.500000,90.000000,top
C7,0.1uF,C_0402_1005Metric,206.500000,-60.500000,90.000000,top
C8,0.1uF,C_0402_1005Metric,237.000000,-66.000000,180.000000,top
C9,0.1uF,C_0402_1005Metric,234.700000,-79.500000,90.000000,top
C10,0.1uF,C_0402_1005Metric,234.700000,-92.500000,90.000000,top
C11,0.1uF,C_0402_1005Metric,232.500000,-97.500000,0.000000,top
C12,0.1uF,C_0402_1005Metric,221.000000,-97.500000,0.000000,top
C13,0.1uF,C_0402_1005Metric,208.500000,-97.500000,0.000000,top
C14,0.1uF,C_0402_1005Metric,196.500000,-97.500000,0.000000,top
C15,0.1uF,C_0402_1005Metric,191.500000,-94.985000,270.000000,top
C16,0.1uF,C_0402_1005Metric,191.500000,-83.000000,270.000000,top
C17,0.1uF,C_0402_1005Metric,191.500000,-70.000000,270.000000,top
D1,D_TVS,D_SMB,188.200000,-61.300000,270.000000,top
D2,LED,LED_0603_1608Metric,221.500000,-84.500000,90.000000,top
J1,USB_B_Micro,FRAMATOME_10118194-0001LF_fixed_bridges,194.000000,-53.400000,180.000000,top
Q1,Q_NPN_BEC,SOT-23,201.500000,-78.500000,180.000000,top
Q2,Q_NPN_BEC,SOT-23,196.500000,-78.500000,0.000000,top
R1,10k,R_0402_1005Metric,196.000000,-75.500000,180.000000,top
R2,10k,R_0402_1005Metric,199.000000,-81.500000,0.000000,top
R3,10k,R_0402_1005Metric,204.500000,-78.000000,270.000000,top
R4,10,R_1206_3216Metric,237.000000,-68.000000,180.000000,top
R5,10,R_1206_3216Metric,237.000000,-82.960000,180.000000,top
R6,10,R_1206_3216Metric,237.000000,-96.000000,180.000000,top
R7,10,R_1206_3216Metric,228.700000,-100.000000,90.000000,top
R8,10,R_1206_3216Metric,217.000000,-100.000000,90.000000,top
R9,10,R_1206_3216Metric,204.000000,-100.000000,90.000000,top
R10,10,R_1206_3216Metric,192.000000,-100.000000,90.000000,top
R11,10,R_1206_3216Metric,189.000000,-91.500000,0.000000,top
R12,10,R_1206_3216Metric,189.000000,-79.500000,0.000000,top
R13,10,R_1206_3216Metric,189.000000,-66.500000,0.000000,top
R14,1k,R_0402_1005Metric,223.100000,-85.000000,270.000000,top
R15,10k,R_0402_1005Metric,201.000000,-88.300000,0.000000,top
SW1,SW_Push,SW_TACTILE_5.1MM_TS-1187A-C-D-B,195.900000,-67.300000,270.000000,top
U1,AZ1117-3.3,SOT-223,204.500000,-71.000000,90.000000,top
U2,INTERFACE-CP2102-GMR(QFN28),QFN28G_0.5-5X5MM,204.800000,-84.600000,270.000000,top
U3,ESP32-WROOM-32,ESP32-WROOM-32,222.000000,-68.000000,0.000000,top
U4,HT7K1201,SOT-23-6,237.500000,-63.000000,90.000000,top
U5,HT7K1201,SOT-23-6,237.500000,-79.500000,90.000000,top
U6,HT7K1201,SOT-23-6,237.500000,-92.500000,90.000000,top
U7,HT7K1201,SOT-23-6,232.500000,-100.500000,0.000000,top
U8,HT7K1201,SOT-23-6,220.860000,-100.500000,0.000000,top
U9,HT7K1201,SOT-23-6,208.000000,-100.500000,0.000000,top
U10,HT7K1201,SOT-23-6,196.000000,-100.500000,0.000000,top
U11,HT7K1201,SOT-23-6,188.500000,-95.500000,270.000000,top
U12,HT7K1201,SOT-23-6,188.400000,-83.500000,270.000000,top
U13,HT7K1201,SOT-23-6,188.500000,-70.500000,270.000000,top
